n,k,input_type,time
1000,3,sorted,0.000291
1000,3,reversed,0.000367
1000,3,random,0.000346
1000,3,partial,0.918608
1000,5,sorted,0.0004
1000,5,reversed,0.000393
1000,5,random,0.000419
1000,5,partial,0.000403
1000,7,sorted,0.000434
1000,7,reversed,0.000472
1000,7,random,0.000481
1000,7,partial,0.00046
1000,9,sorted,0.000576
1000,9,reversed,0.000588
1000,9,random,0.000578
1000,9,partial,0.00057
1000,11,sorted,0.000624
1000,11,reversed,0.000665
1000,11,random,0.000632
1000,11,partial,0.000634
10000,3,sorted,0.002823
10000,3,reversed,0.00333
10000,3,random,0.003456
10000,3,partial,0.0031
10000,5,sorted,0.003779
10000,5,reversed,0.004168
10000,5,random,0.00461
10000,5,partial,0.004183
10000,7,sorted,0.004541
10000,7,reversed,0.00474
10000,7,random,0.005113
10000,7,partial,0.004878
10000,9,sorted,0.005868
10000,9,reversed,0.006753
10000,9,random,0.006674
10000,9,partial,0.006038
10000,11,sorted,0.006373
10000,11,reversed,0.006771
10000,11,random,0.00671
10000,11,partial,0.006449
100000,3,sorted,0.03226
100000,3,reversed,0.037398
100000,3,random,0.038221
100000,3,partial,0.034914
100000,5,sorted,0.041673
100000,5,reversed,0.044203
100000,5,random,0.050885
100000,5,partial,0.046011
100000,7,sorted,0.04678
100000,7,reversed,0.049616
100000,7,random,0.054502
100000,7,partial,0.050856
100000,9,sorted,0.059784
100000,9,reversed,0.063018
100000,9,random,0.065262
100000,9,partial,0.062075
100000,11,sorted,0.065299
100000,11,reversed,0.068909
100000,11,random,0.072876
100000,11,partial,0.067278
1000000,3,sorted,0.287798
1000000,3,reversed,0.403262
1000000,3,random,0.409737
1000000,3,partial,0.344999
1000000,5,sorted,0.428428
1000000,5,reversed,0.449219
1000000,5,random,0.526005
1000000,5,partial,0.477868
1000000,7,sorted,0.483571
1000000,7,reversed,0.508195
1000000,7,random,0.57835
1000000,7,partial,0.532859
1000000,9,sorted,0.624769
1000000,9,reversed,0.642994
1000000,9,random,0.681351
1000000,9,partial,0.657953
1000000,11,sorted,0.672992
1000000,11,reversed,0.715686
1000000,11,random,0.727035
1000000,11,partial,0.697296
